subject,label,peakGyro,ratio,durationCount,gySigned,gzSigned,peakAccel,accelMean,accelStd,spikeCount,classified
B,GARBAGE,141.1,1.834,0,141.1,55.7,1.726,1.038,0.161,1,NONE
B,GARBAGE,405.1,0.777,15,405.1,-276.9,1.938,1.035,0.329,7,NONE
B,GARBAGE,382.4,0.955,11,382.4,-288.4,2.566,1.729,0.400,7,PINCH
B,GARBAGE,170.9,1.439,0,103.4,170.9,1.701,1.274,0.218,5,NONE
B,GARBAGE,134.9,1.478,0,32.6,134.9,1.530,0.947,0.249,3,NONE
B,GARBAGE,265.6,2.734,4,-26.6,-70.6,1.588,1.053,0.189,4,NONE
B,GARBAGE,153.5,0.702,0,106.8,153.5,2.142,1.038,0.258,2,NONE
B,GARBAGE,818.8,0.930,47,-477.1,818.8,2.071,1.312,0.226,14,TWIST
B,GARBAGE,237.0,0.944,5,109.8,-141.2,2.138,1.077,0.261,2,NONE
B,GARBAGE,119.6,1.000,0,119.6,-92.0,2.042,1.240,0.318,4,NONE
B,GARBAGE,391.6,1.819,19,-163.4,391.6,2.181,1.298,0.326,2,NONE
B,GARBAGE,374.9,1.064,7,147.1,-205.1,1.610,1.072,0.205,3,NONE
B,GARBAGE,126.1,0.979,0,126.1,-80.3,1.980,1.283,0.303,12,NONE
B,GARBAGE,99.5,0.816,0,50.3,71.6,2.546,1.471,0.403,7,NONE
B,GARBAGE,177.0,2.496,0,-49.7,177.0,2.145,1.287,0.288,4,NONE
B,GARBAGE,76.2,0.843,0,-31.4,76.2,1.998,1.055,0.272,1,NONE
B,GARBAGE,287.4,1.360,5,72.4,287.4,1.551,1.017,0.125,1,NONE
B,GARBAGE,79.1,1.317,0,79.1,-40.2,2.573,1.348,0.351,3,NONE
B,GARBAGE,99.1,0.636,0,99.1,77.0,1.556,0.964,0.127,1,NONE
B,GARBAGE,91.2,1.032,0,32.4,91.2,2.346,1.343,0.296,4,NONE
B,GARBAGE,137.5,0.790,0,78.5,95.6,2.165,1.346,0.377,9,NONE
B,GARBAGE,75.0,0.965,0,75.0,52.8,2.176,1.292,0.371,13,NONE
B,GARBAGE,246.3,1.694,7,246.3,65.6,1.792,1.036,0.274,5,NONE
B,GARBAGE,127.4,1.923,0,12.8,53.4,2.381,1.263,0.380,3,NONE
B,GARBAGE,153.5,1.690,0,153.5,36.9,2.282,1.468,0.326,2,NONE
B,GARBAGE,70.6,1.320,0,42.2,70.6,1.412,0.953,0.218,2,NONE
B,GARBAGE,167.8,1.941,0,68.4,167.8,2.146,1.371,0.289,5,NONE
B,GARBAGE,83.1,2.046,0,29.5,11.1,3.148,1.430,0.483,14,NONE
B,FLICK,1004.9,8.131,27,-40.3,-83.3,2.034,1.319,0.212,13,FLICK
B,FLICK,903.4,2.372,21,267.4,903.4,2.061,1.392,0.208,11,FLICK
B,FLICK,1193.7,2.775,15,206.2,-224.0,3.187,1.536,0.441,11,FLICK
B,FLICK,1066.8,1.500,21,238.7,1066.8,1.946,1.339,0.239,13,FLICK
B,FLICK,1213.5,3.604,15,174.5,-162.2,2.549,1.615,0.400,10,FLICK
B,FLICK,817.4,1.530,23,-391.7,817.4,2.057,1.436,0.282,14,FLICK
B,FLICK,1200.6,1.294,28,498.7,1200.6,2.675,1.469,0.323,11,FLICK
B,FLICK,1140.2,1.366,25,-516.3,1140.2,2.498,1.497,0.399,12,FLICK
B,FLICK,1207.3,1.737,19,1207.3,182.9,2.135,1.362,0.378,11,FLICK
B,FLICK,1337.2,1.392,25,-528.6,-431.8,2.184,1.480,0.241,15,FLICK
B,FLICK,1175.7,3.416,13,43.0,-301.2,2.540,1.602,0.364,11,FLICK
B,FLICK,1075.0,1.733,29,154.9,1075.0,2.114,1.421,0.248,14,FLICK
B,FLICK,295.8,1.624,16,72.0,295.8,2.252,1.449,0.356,14,PINCH
B,FLICK,1011.2,2.423,28,105.8,311.5,2.324,1.504,0.311,11,FLICK
B,FLICK,1213.7,3.396,23,-226.6,-130.7,2.093,1.454,0.302,12,FLICK
B,FLICK,1305.1,16.568,18,65.4,1305.1,2.150,1.587,0.243,11,FLICK
B,FLICK,929.7,1.695,17,-252.3,-296.3,2.626,1.521,0.398,8,FLICK
B,FLICK,987.0,1.767,25,987.0,50.6,1.999,1.354,0.267,16,FLICK
B,FLICK,1066.0,2.815,15,294.8,1066.0,2.446,1.581,0.349,9,FLICK
B,FLICK,1176.0,1.501,17,1176.0,-358.0,2.408,1.444,0.302,15,FLICK
B,FLICK,843.8,1.405,13,843.8,399.7,1.983,1.297,0.224,11,FLICK
B,FLICK,1056.5,2.957,13,77.7,1056.5,2.371,1.295,0.293,9,FLICK
B,FLICK,975.0,1.664,31,-531.9,975.0,2.557,1.530,0.354,12,FLICK
B,FLICK,1118.5,1.804,21,163.0,-456.9,1.828,1.247,0.225,13,FLICK
B,FLICK,841.9,2.143,19,841.9,312.4,2.821,1.656,0.440,10,FLICK
B,FLICK,1285.2,1.658,21,361.7,413.2,2.004,1.471,0.221,14,FLICK
B,FLICK,1036.8,2.239,19,1036.8,427.0,2.767,1.418,0.429,9,FLICK
B,FLICK,883.4,1.739,22,883.4,388.0,2.271,1.466,0.300,12,FLICK
B,FLICK,1004.8,1.650,21,-242.4,-366.4,2.093,1.297,0.251,15,FLICK
B,FLICK,1223.4,1.462,31,653.4,-183.4,1.866,1.418,0.242,11,FLICK
B,FLICK,1182.7,3.018,23,346.6,1182.7,2.255,1.503,0.252,15,FLICK
B,FLICK,1201.3,2.355,25,288.2,-221.9,2.424,1.355,0.338,7,FLICK
B,FLICK,1010.5,2.453,27,67.7,344.3,2.312,1.555,0.247,8,FLICK
C,TWIST,536.8,2.009,17,122.2,145.0,2.107,1.422,0.369,11,PINCH
C,TWIST,671.7,0.920,51,671.7,-324.7,1.702,1.258,0.167,5,TWIST
C,TWIST,1297.4,1.848,26,427.7,1297.4,2.640,1.593,0.336,12,FLICK
C,TWIST,635.1,0.954,41,635.1,346.7,2.064,1.244,0.239,10,TWIST
C,TWIST,736.6,0.877,49,736.6,-373.0,1.682,1.246,0.187,12,TWIST
C,TWIST,730.5,0.736,35,730.5,-438.2,1.979,1.295,0.293,13,TWIST
C,TWIST,389.7,0.932,15,-202.1,-216.0,2.633,1.260,0.344,9,PINCH
C,TWIST,586.3,7.337,17,-13.9,-66.0,2.212,1.595,0.363,9,PINCH
C,TWIST,677.3,2.610,29,677.3,-115.7,2.071,1.281,0.215,4,TWIST
C,TWIST,674.5,1.430,46,-199.8,674.5,1.956,1.277,0.256,10,TWIST
C,TWIST,722.5,0.838,31,722.5,-483.2,2.217,1.354,0.242,14,TWIST
C,TWIST,640.7,1.473,26,268.5,166.4,2.407,1.245,0.364,10,TWIST
C,TWIST,746.0,1.085,47,746.0,-447.4,1.817,1.263,0.305,15,TWIST
C,TWIST,658.8,1.459,38,-240.6,658.8,1.741,1.280,0.288,11,TWIST
C,TWIST,873.0,0.965,52,-293.9,873.0,1.948,1.300,0.192,14,TWIST
C,TWIST,429.8,1.402,15,-288.6,18.0,2.393,1.492,0.296,11,PINCH
C,TWIST,746.1,0.993,60,-413.3,-338.4,1.739,1.273,0.256,14,TWIST
C,TWIST,852.6,1.017,35,-355.3,852.6,2.228,1.269,0.309,12,TWIST
C,TWIST,838.7,1.067,47,838.7,-344.3,1.761,1.261,0.161,10,TWIST
C,TWIST,698.2,1.064,35,698.2,-421.9,1.942,1.374,0.260,12,TWIST
C,TWIST,732.8,0.952,51,463.0,306.8,1.952,1.290,0.201,16,TWIST
C,TWIST,786.8,1.046,31,-440.8,-311.2,2.237,1.268,0.240,11,TWIST
