subject,label,peakGyro,ratio,durationCount,gySigned,gzSigned,peakAccel,accelMean,accelStd,spikeCount,classified
B,FLICK,905.4,2.407,22,-905.4,-229.8,3.244,1.201,0.557,2,FLICK
B,FLICK,796.2,2.218,16,-796.2,168.0,3.921,1.165,0.623,3,FLICK
B,FLICK,1232.7,1.647,20,-1232.7,-469.1,3.472,1.315,0.602,3,FLICK
B,FLICK,1431.0,3.130,23,-1431.0,284.8,3.814,1.244,0.662,4,FLICK
B,FLICK,1457.3,2.375,20,-1457.3,-375.9,3.489,1.371,0.674,4,FLICK
B,FLICK,1478.5,4.601,28,-1478.5,-203.2,3.928,1.271,0.692,3,FLICK
B,FLICK,1194.6,2.797,25,-1194.6,-237.3,4.038,1.233,0.673,4,FLICK
B,FLICK,1443.8,1.212,32,1443.8,-897.4,3.386,1.538,0.665,6,FLICK
B,FLICK,1141.9,3.820,26,-1141.9,134.8,3.076,1.214,0.566,2,FLICK
B,FLICK,1305.3,2.649,26,-1305.3,-293.5,2.423,1.327,0.438,4,FLICK
B,FLICK,1269.6,1.379,22,1269.6,-712.2,4.677,1.306,0.644,4,FLICK
B,FLICK,951.3,1.707,22,-951.3,-287.1,2.344,1.215,0.449,2,FLICK
B,FLICK,1266.2,1.697,32,1266.2,-530.1,3.159,1.280,0.495,5,FLICK
B,FLICK,1270.4,1.914,24,1270.4,-495.2,3.329,1.337,0.418,4,FLICK
B,TWIST,899.2,0.759,56,899.2,491.1,2.717,1.193,0.429,5,TWIST
B,TWIST,853.8,0.885,21,-483.7,481.3,2.036,1.145,0.315,2,TWIST
B,TWIST,884.8,0.912,42,-556.5,414.1,2.202,1.328,0.505,3,TWIST
B,TWIST,795.9,0.762,41,509.8,535.1,2.054,1.198,0.437,4,TWIST
B,TWIST,705.9,0.671,43,-606.9,444.5,2.054,1.236,0.472,2,TWIST
B,TWIST,858.3,1.016,45,475.6,-858.3,2.468,1.211,0.436,4,TWIST
B,TWIST,712.0,0.685,48,-712.0,-634.8,2.055,1.217,0.449,5,TWIST
B,TWIST,616.9,0.678,49,-515.4,394.6,2.229,1.148,0.427,3,PINCH
B,TWIST,778.9,0.745,43,567.7,477.3,1.874,1.164,0.333,3,TWIST
B,TWIST,692.0,0.693,25,432.3,566.7,2.536,1.119,0.405,1,PINCH
B,TWIST,746.5,0.736,49,-746.5,-427.4,1.895,1.207,0.337,4,TWIST
B,TWIST,632.2,0.572,38,-544.0,560.8,2.509,1.247,0.556,2,PINCH
B,TWIST,561.8,0.569,43,561.8,536.7,3.350,1.238,0.654,4,PINCH
B,TWIST,633.5,0.581,23,529.3,633.5,3.204,1.217,0.644,1,PINCH
B,TWIST,582.0,0.787,26,372.3,366.8,2.973,1.192,0.508,1,PINCH
B,TWIST,836.0,0.715,39,638.0,530.8,2.925,1.366,0.646,3,TWIST
B,TWIST,851.2,0.771,37,851.2,429.3,3.087,1.345,0.662,3,TWIST
B,TWIST,625.5,0.731,37,-366.3,489.3,3.033,1.268,0.608,4,PINCH
B,TWIST,843.6,0.877,28,-506.8,454.7,2.760,1.230,0.501,4,TWIST
B,TWIST,641.5,0.691,40,-472.1,-456.4,2.623,1.256,0.558,4,PINCH
B,TWIST,636.5,0.622,48,452.7,-570.8,2.756,1.324,0.628,2,PINCH
B,TWIST,752.6,0.804,47,-432.7,503.1,3.117,1.303,0.632,4,TWIST
B,TWIST,787.3,0.697,53,-488.0,-641.0,3.092,1.248,0.607,2,TWIST
B,TWIST,586.3,0.529,41,-586.3,548.8,3.342,1.351,0.610,2,PINCH
B,TWIST,665.6,0.759,52,-457.6,419.3,2.838,1.339,0.718,2,PINCH
B,TWIST,656.3,0.689,56,502.0,656.3,3.413,1.234,0.571,3,PINCH
B,TWIST,621.5,0.578,41,621.5,-549.8,1.436,1.103,0.196,1,NONE
B,TWIST,705.7,0.665,48,-543.7,517.4,1.988,1.161,0.323,3,TWIST
B,TWIST,880.1,0.824,45,-577.1,490.5,2.552,1.277,0.515,3,TWIST
B,TWIST,893.6,0.827,57,893.6,-516.0,2.215,1.384,0.409,6,TWIST
B,TWIST,714.1,0.737,42,516.1,453.2,2.232,1.184,0.413,4,TWIST
B,PINCH,419.8,0.820,7,419.8,-259.5,4.708,1.253,0.678,4,PINCH
B,PINCH,369.8,0.644,5,-369.8,-310.6,4.166,1.111,0.523,3,PINCH
B,PINCH,601.7,0.896,5,-318.0,-353.8,4.355,1.299,0.552,4,PINCH
B,PINCH,556.6,0.914,6,-324.9,-284.3,5.053,1.336,0.623,4,PINCH
B,PINCH,285.9,0.557,5,285.9,270.9,4.479,1.324,0.691,3,PINCH
B,PINCH,361.0,0.729,6,-361.0,-265.1,3.316,1.199,0.490,3,PINCH
B,PINCH,572.7,0.890,9,-572.7,291.5,2.461,1.291,0.393,4,NONE
B,PINCH,396.8,0.766,6,-396.8,242.6,3.463,1.233,0.503,2,PINCH
B,PINCH,620.0,1.185,4,-620.0,339.0,2.801,1.176,0.457,2,PINCH
B,PINCH,391.0,0.793,9,-161.3,331.7,1.955,1.271,0.347,3,NONE
B,PINCH,404.6,0.599,4,-404.6,337.1,3.111,1.182,0.489,2,PINCH
B,PINCH,374.6,0.654,6,-374.6,-247.4,2.682,1.220,0.425,5,PINCH
B,PINCH,350.2,0.636,3,-350.2,-305.2,2.797,1.209,0.458,3,PINCH
B,PINCH,543.2,0.894,6,-543.2,-249.5,3.447,1.276,0.492,3,PINCH
B,PINCH,404.4,0.620,4,-404.4,-295.7,3.981,1.163,0.444,3,PINCH
B,PINCH,456.2,0.709,3,407.9,235.5,3.955,1.142,0.434,2,PINCH
B,PINCH,327.8,0.602,4,-327.8,-268.2,3.651,1.316,0.575,2,PINCH
